Date,SKEW
2015-01-05,127.79
2015-01-02,128.66
2014-12-31,133.84
2014-12-30,136.39
2014-12-29,127.6
2014-12-26,135.03
2014-12-24,135.65
2014-12-23,136.93
2014-12-22,136.61
2014-12-19,138.63
2014-12-18,126.24
2014-12-17,125.48
2014-12-16,131.21
2014-12-15,135.12
2014-12-12,131.47
2014-12-11,130.73
2014-12-10,130.88
2014-12-09,136.69
2014-12-08,137.62
2014-12-05,131.41
2014-12-04,128.73
2014-12-03,134.44
2014-12-02,121.64
2014-12-01,127.95
2014-11-28,131.89
2014-11-26,139.86
2014-11-25,126.27
2014-11-24,140.18
2014-11-21,138.46
2014-11-20,136.35
2014-11-19,124.66
2014-11-18,132.03
2014-11-17,123.69
2014-11-14,128.68
2014-11-13,128.96
2014-11-12,125.71
2014-11-11,127.11
2014-11-10,130.51
2014-11-07,127.08
2014-11-06,124.93
2014-11-05,125.66
2014-11-04,124.19
2014-11-03,124.64
2014-10-31,124.75
2014-10-30,121.02
2014-10-29,124.18
2014-10-28,127.56
2014-10-27,123.77
2014-10-24,125.57
2014-10-23,128.77
2014-10-22,127.04
2014-10-21,129.18
2014-10-20,120.62
2014-10-17,131.71
2014-10-16,127.97
2014-10-15,111.31
2014-10-14,127.78
2014-10-13,130.36
2014-10-10,130.82
2014-10-09,123.58
2014-10-08,128.08
2014-10-07,120.85
2014-10-06,126.96
2014-10-03,122.53
2014-10-02,125.35
2014-10-01,123.17
2014-09-30,127.73
2014-09-29,131.67
2014-09-26,130.49
2014-09-25,132.24
2014-09-24,126.9
2014-09-23,132.46
2014-09-22,139.85
2014-09-19,146.08
2014-09-18,142.1
2014-09-17,138.13
2014-09-16,126.81
2014-09-15,127.09
2014-09-12,127.37
2014-09-11,132.72
2014-09-10,130.53
2014-09-09,136.88
2014-09-08,132.91
2014-09-05,137.49
2014-09-04,130.15
2014-09-03,131.55
2014-09-02,131.72
2014-08-29,127.01
2014-08-28,137.95
2014-08-27,135.41
2014-08-26,133.54
2014-08-25,135.42
2014-08-22,135.1
2014-08-21,135.75
2014-08-20,135.46
2014-08-19,138.69
2014-08-18,138.46
2014-08-15,135.43
2014-08-14,132.46
2014-08-13,126.93
2014-08-12,123.69
2014-08-11,124.24
2014-08-08,120.36
2014-08-07,124.68
2014-08-06,124.41
2014-08-05,124.62
2014-08-04,126.86
2014-08-01,128.93
2014-07-31,128.71
2014-07-30,130.54
2014-07-29,132.35
2014-07-28,135.02
2014-07-25,135.26
2014-07-24,133.8
2014-07-23,132.55
2014-07-22,136.37
2014-07-21,138.75
2014-07-18,141.19
2014-07-17,131.65
2014-07-16,134.86
2014-07-15,136.92
2014-07-14,139.94
2014-07-11,138.74
2014-07-10,134.43
2014-07-09,135.8
2014-07-08,134.2
2014-07-07,137.76
2014-07-03,142.28
2014-07-02,140.37
2014-07-01,139.36
2014-06-30,139.35
2014-06-27,135.36
2014-06-26,132.81
2014-06-25,131.82
2014-06-24,134.65
2014-06-23,139.41
2014-06-20,143.26
2014-06-19,138.61
2014-06-18,129.53
2014-06-17,130.18
2014-06-16,127.67
2014-06-13,127.78
2014-06-12,127.82
2014-06-11,126.71
2014-06-10,125.38
2014-06-09,124.67
2014-06-06,122.88
2014-06-05,122.21
2014-06-04,121.48
2014-06-03,121.79
2014-06-02,123.33
2014-05-30,124.23
2014-05-29,125.81
2014-05-28,124.18
2014-05-27,123.64
2014-05-23,125.13
2014-05-22,123.68
2014-05-21,123.89
2014-05-20,127.47
2014-05-19,128.18
2014-05-16,127.23
2014-05-15,123.6
2014-05-14,122.75
2014-05-13,124.3
2014-05-12,125.28
2014-05-09,125.6
2014-05-08,123.93
2014-05-07,123.27
2014-05-06,121.18
2014-05-05,123.56
2014-05-02,124.13
2014-05-01,124.9
2014-04-30,124.53
2014-04-29,123.44
2014-04-28,123.69
2014-04-25,121.95
2014-04-24,124.79
2014-04-23,126.11
2014-04-22,126.51
2014-04-21,119.11
2014-04-17,127.93
2014-04-16,125.43
2014-04-15,129.24
2014-04-14,123.76
2014-04-11,122.59
2014-04-10,125.11
2014-04-09,130.79
2014-04-08,124.34
2014-04-07,123.92
2014-04-04,126.61
2014-04-03,128.13
2014-04-02,127.3
2014-04-01,128.08
2014-03-31,123.25
2014-03-28,124.98
2014-03-27,117.96
2014-03-26,119.05
2014-03-25,121.81
2014-03-24,132.7
2014-03-21,132.82
2014-03-20,134.02
2014-03-19,132.74
2014-03-18,129.37
2014-03-17,131.87
2014-03-14,126.26
2014-03-13,127.66
2014-03-12,132.33
2014-03-11,130.08
2014-03-10,131.35
2014-03-07,130.49
2014-03-06,133.46
2014-03-05,129.49
2014-03-04,131.65
